Air-Compressor,Air-Compressor-01,Alarm,ns=2;points/CO1$242eAlarm,float,20,influxdb
Air-Compressor,Air-Compressor-01,Alarm-Trip-Status,ns=2;points/CO$242e02TripCode,float,20,influxdb
Air-Compressor,Air-Compressor-01,Capacity,ns=2;points/C01$2420capacity,float,20,influxdb
Air-Compressor,Air-Compressor-01,Current,ns=2;points/C01$2420Current,float,20,influxdb
Air-Compressor,Air-Compressor-01,Inlet-Temperature,ns=2;points/Comp$242001$2420Air$2420Inlet$2420Temp,float,20,influxdb
Air-Compressor,Air-Compressor-01,No-Load,ns=2;points/CO1$242eLoaded$2420Operation,float,20,influxdb
Air-Compressor,Air-Compressor-01,Outlet-Pressure,ns=2;points/CO1$242eAirOutletPressure,float,20,influxdb
Air-Compressor,Air-Compressor-01,Status,ns=2;points/CO1$242eON$242eOFFStatus,float,20,influxdb
Air-Compressor,Air-Compressor-01,Unload,ns=2;points/CO1$242eNoemal$2420Operation,float,20,influxdb
Air-Compressor,Air-Compressor-01,Warning,ns=2;points/CO1$242eWarning,float,20,influxdb
Air-Compressor,Air-Compressor-02,Alarm,ns=2;points/COAlarm,float,20,influxdb
Air-Compressor,Air-Compressor-02,Alarm-Trip-Status,ns=2;points/CO$242e01TripCode,float,20,influxdb
Air-Compressor,Air-Compressor-02,Capacity,ns=2;points/C02$2420Capacity,float,20,influxdb
Air-Compressor,Air-Compressor-02,Current,ns=2;points/CO2$2420Current,float,20,influxdb
Air-Compressor,Air-Compressor-02,Inlet-Temperature,ns=2;points/C02$2420Intake$2420Temp1,float,20,influxdb
Air-Compressor,Air-Compressor-02,No-Load,ns=2;points/CO2$242eLoaded$2420Operetion,float,20,influxdb
Air-Compressor,Air-Compressor-02,Outlet-Pressure,ns=2;points/CO2$242eAirOutletPressure,float,20,influxdb
Air-Compressor,Air-Compressor-02,Status,ns=2;points/CO2$242eON$242eOFFStatus,float,20,influxdb
Air-Compressor,Air-Compressor-02,Unload,ns=2;points/CO2$242eNormal$2420Operation,float,20,influxdb
Air-Compressor,Air-Compressor-02,Warning,ns=2;points/CO2$242eWarning,float,20,influxdb
Air-Compressor,Dryer-01,Alarm,ns=2;points/Dryer01CommenAlarm,float,20,influxdb
Air-Compressor,Dryer-01,Status,ns=2;points/Dryer01Stop,float,20,influxdb
Air-Compressor,Dryer-02,Alarm,ns=2;points/Dryer02CommenAlarm,float,20,influxdb
Air-Compressor,Dryer-02,Status,ns=2;points/Dryer02ONOFFStatus,float,20,influxdb
Boiler,Boiler,Burner,ns=2;points/BurnerONOFFStatus,float,20,influxdb
Boiler,Boiler,Condensate-Return-Temperature,ns=2;points/Cond$242e$2420ReturnTemp,float,20,influxdb
Boiler,Boiler,Exhaust-Oxygen-Percentage,ns=2;points/ExaustO2level,float,20,influxdb
Boiler,Boiler,Exhaust-Temperature,ns=2;points/ExaustTemp,float,20,influxdb
Boiler,Boiler,Flame,ns=2;points/FlameTimerONOFFStatus,float,20,influxdb
