upsBatteryStatus,1.3.6.1.2.1.33.1.2.1.0
upsSecondsOnBattery,1.3.6.1.2.1.33.1.2.2.0
upsEstimatedMinutesRemaining,1.3.6.1.2.1.33.1.2.3.0
upsEstimatedChargeRemaining,1.3.6.1.2.1.33.1.2.4.0
upsBatteryVoltage,1.3.6.1.2.1.33.1.2.5.0
upsBatteryCurrent,1.3.6.1.2.1.33.1.2.6.0
upsBatteryTemperature,1.3.6.1.2.1.33.1.2.7.0
upsInputLineBads,1.3.6.1.2.1.33.1.3.1.0
upsInputNumLines,1.3.6.1.2.1.33.1.3.2.0
upsInputLineIndex,1.3.6.1.2.1.33.1.3.3.1.1.1
upsInputFrequency,1.3.6.1.2.1.33.1.3.3.1.2.1
upsInputVoltage,1.3.6.1.2.1.33.1.3.3.1.3.1
upsInputCurrent,1.3.6.1.2.1.33.1.3.3.1.4.1
upsInputTruePower,1.3.6.1.2.1.33.1.3.3.1.5.1
upsOutputSource,1.3.6.1.2.1.33.1.4.1.0
upsOutputFrequency,1.3.6.1.2.1.33.1.4.2.0
upsOutputNumLines,1.3.6.1.2.1.33.1.4.3.0
upsOutputLineIndex,1.3.6.1.2.1.33.1.4.4.1.1.1
upsOutputVoltage,1.3.6.1.2.1.33.1.4.4.1.2.1
upsOutputCurrent,1.3.6.1.2.1.33.1.4.4.1.3.1
upsOutputPower,1.3.6.1.2.1.33.1.4.4.1.4.1
upsOutputPercentLoad,1.3.6.1.2.1.33.1.4.4.1.5.1
upsBypassFrequency,1.3.6.1.2.1.33.1.5.1.0
upsBypassNumLines,1.3.6.1.2.1.33.1.5.2.0
upsBypassLineIndex,1.3.6.1.2.1.33.1.5.3.1.1.1
upsBypassVoltage,1.3.6.1.2.1.33.1.5.3.1.2.1
upsBypassCurrent,1.3.6.1.2.1.33.1.5.3.1.3.1
upsBypassPower,1.3.6.1.2.1.33.1.5.3.1.4.1
upsAlarmsPresent,1.3.6.1.2.1.33.1.6.1.0
upsShutdownType,1.3.6.1.2.1.33.1.8.1.0
upsShutdownAfterDelay,1.3.6.1.2.1.33.1.8.2.0
upsStartupAfterDelay,1.3.6.1.2.1.33.1.8.3.0
upsRebootWithDuration,1.3.6.1.2.1.33.1.8.4.0
upsAutoRestart,1.3.6.1.2.1.33.1.8.5.0
upsConfigInputVoltage,1.3.6.1.2.1.33.1.9.1.0
upsConfigInputFreq,1.3.6.1.2.1.33.1.9.2.0
upsConfigOutputVoltage,1.3.6.1.2.1.33.1.9.3.0
upsConfigOutputFreq,1.3.6.1.2.1.33.1.9.4.0
upsConfigOutputVA,1.3.6.1.2.1.33.1.9.5.0
upsConfigOutputPower,1.3.6.1.2.1.33.1.9.6.0
upsConfigLowBattTime,1.3.6.1.2.1.33.1.9.7.0
upsConfigAudibleStatus,1.3.6.1.2.1.33.1.9.8.0
upsConfigLowVoltageTransferPoint,1.3.6.1.2.1.33.1.9.9.0
upsConfigHighVoltageTransferPoint,1.3.6.1.2.1.33.1.9.10.0
