systemStatus,1.3.6.1.4.1.13400.2.54.2.1.1.0
upsOutputSource,1.3.6.1.4.1.13400.2.54.2.1.2.0
inputPhaseVoltageA,1.3.6.1.4.1.13400.2.54.2.2.1.0
inputPhaseVoltageB,1.3.6.1.4.1.13400.2.54.2.2.2.0
inputPhaseVoltageC,1.3.6.1.4.1.13400.2.54.2.2.3.0
inputFrequency,1.3.6.1.4.1.13400.2.54.2.2.4.0
inputPhaseCurrentA,1.3.6.1.4.1.13400.2.54.2.2.5.0
inputPhaseCurrentB,1.3.6.1.4.1.13400.2.54.2.2.6.0
inputPhaseCurrentC,1.3.6.1.4.1.13400.2.54.2.2.7.0
outputPhaseVoltageA,1.3.6.1.4.1.13400.2.54.2.3.1.0
outputPhaseVoltageB,1.3.6.1.4.1.13400.2.54.2.3.2.0
outputPhaseVoltageC,1.3.6.1.4.1.13400.2.54.2.3.3.0
outputCurrentA,1.3.6.1.4.1.13400.2.54.2.3.4.0
outputCurrentB,1.3.6.1.4.1.13400.2.54.2.3.5.0
outputCurrentC,1.3.6.1.4.1.13400.2.54.2.3.6.0
outputFrequency,1.3.6.1.4.1.13400.2.54.2.3.7.0
outputActivePowerA,1.3.6.1.4.1.13400.2.54.2.3.8.0
outputActivePowerB,1.3.6.1.4.1.13400.2.54.2.3.9.0
outputActivePowerC,1.3.6.1.4.1.13400.2.54.2.3.10.0
outputApparentPowerA,1.3.6.1.4.1.13400.2.54.2.3.11.0
outputApparentPowerB,1.3.6.1.4.1.13400.2.54.2.3.12.0
outputApparentPowerC,1.3.6.1.4.1.13400.2.54.2.3.13.0
outputLoadA,1.3.6.1.4.1.13400.2.54.2.3.14.0
outputLoadB,1.3.6.1.4.1.13400.2.54.2.3.15.0
outputLoadC,1.3.6.1.4.1.13400.2.54.2.3.16.0
outputPowerFactorA,1.3.6.1.4.1.13400.2.54.2.3.17.0
outputPowerFactorB,1.3.6.1.4.1.13400.2.54.2.3.18.0
outputPowerFactorC,1.3.6.1.4.1.13400.2.54.2.3.19.0
bypassVoltageA,1.3.6.1.4.1.13400.2.54.2.4.1.0
bypassVoltageB,1.3.6.1.4.1.13400.2.54.2.4.2.0
bypassVoltageC,1.3.6.1.4.1.13400.2.54.2.4.3.0
bypassFrequency,1.3.6.1.4.1.13400.2.54.2.4.4.0
positiveBatteryVoltage,1.3.6.1.4.1.13400.2.54.2.5.1.0
negativeBatteryVoltage,1.3.6.1.4.1.13400.2.54.2.5.2.0
positiveBatteryChargingCurrent,1.3.6.1.4.1.13400.2.54.2.5.3.0
positiveBatteryDischargingCurrent,1.3.6.1.4.1.13400.2.54.2.5.4.0
negativeBatteryChargingCurrent,1.3.6.1.4.1.13400.2.54.2.5.5.0
negativeBatteryDischargingCurrent,1.3.6.1.4.1.13400.2.54.2.5.6.0
batteryRemainsTime,1.3.6.1.4.1.13400.2.54.2.5.7.0
batteryTemperature,1.3.6.1.4.1.13400.2.54.2.5.8.0
batteryEnvironmentTemperature,1.3.6.1.4.1.13400.2.54.2.5.9.0
batteryCapacity,1.3.6.1.4.1.13400.2.54.2.5.10.0
batteryDischargeTimes,1.3.6.1.4.1.13400.2.54.2.5.11.0
ctrlBatteryTestStart,1.3.6.1.4.1.13400.2.54.2.6.1.0
ctrlBatteryTestEnd,1.3.6.1.4.1.13400.2.54.2.6.2.0
ctrlTurnOn,1.3.6.1.4.1.13400.2.54.2.6.3.0
ctrlTurnOff,1.3.6.1.4.1.13400.2.54.2.6.4.0
ctrlTurnOffOutput,1.3.6.1.4.1.13400.2.54.2.6.5.0
ctrlTurnOnDelay,1.3.6.1.4.1.13400.2.54.2.6.6.0
ctrlTurnOffOutputDelayStart,1.3.6.1.4.1.13400.2.54.2.6.7.0
ctrlTurnOffOutputDelayEnd,1.3.6.1.4.1.13400.2.54.2.6.8.0
ctrlBatteryMaintenanceTestStart,1.3.6.1.4.1.13400.2.54.2.6.9.0
ctrlBatteryMaintenanceTestEnd,1.3.6.1.4.1.13400.2.54.2.6.10.0
confSelfStartDelayTime,1.3.6.1.4.1.13400.2.54.2.7.1.0
confRemoteShutdownDelayTime,1.3.6.1.4.1.13400.2.54.2.7.2.0
confBatterySelfTestPeriod,1.3.6.1.4.1.13400.2.54.2.7.3.0
confRunMode,1.3.6.1.4.1.13400.2.54.2.7.4.0
confSelfStart,1.3.6.1.4.1.13400.2.54.2.7.5.0
confRedundanceSet,1.3.6.1.4.1.13400.2.54.2.7.6.0
confRemotePowerOnDelayTime,1.3.6.1.4.1.13400.2.54.2.7.7.0
